from_profile,from_debt,to_profile,to_debt,count
1,0,2,0,1
3,0,4,0,1
4,0,5,0,14904485
5,0,6,0,29832360
7,0,8,0,29806355
8,0,9,0,1
9,0,10,0,7
10,0,11,0,7
11,0,12,0,2
12,0,13,0,20245669
13,0,14,0,37276668
15,2,16,0,37266497
16,0,17,2,17016142
17,2,3,0,30977008
3,0,18,0,13983088
18,0,4,0,1
4,0,19,0,7457277
19,0,20,0,29831273
20,0,21,0,14908767
21,0,22,0,7456369
22,0,23,0,29804533
23,0,24,0,29828789
24,0,5,0,29828788
5,0,19,0,29814267
20,0,25,0,29827682
26,0,27,0,29835625
27,0,28,0,14926715
28,0,29,0,29849544
29,0,30,0,29844405
30,0,24,0,29837287
24,0,31,0,7461793
31,0,26,0,14920299
27,0,32,0,7457439
32,0,9,0,1
9,0,9,0,6
11,0,33,0,6
33,0,34,0,6
34,0,35,0,6
35,0,36,0,43573921
36,0,15,2,20250355
16,0,37,0,37276605
37,0,38,2,20259523
38,2,34,2,23294233
34,2,35,0,23290571
37,0,13,0,17017081
13,0,39,2,17017081
39,2,40,0,30983461
40,0,41,2,37281467
2,0,42,0,4
42,0,43,0,2
43,0,44,2,20262527
44,2,45,0,37288979
45,0,46,0,37275801
46,0,47,0,17020972
47,0,48,2,30976971
48,2,49,0,13965587
49,0,14,0,7700506
14,0,44,2,17026452
49,0,50,0,3455186
50,0,41,2,13949801
41,2,51,0,13962299
51,0,52,0,6266885
52,0,52,0,2813171
52,0,4,0,1
4,0,53,0,1860329
53,0,4,0,7445902
19,0,54,0,7446563
54,0,54,0,3718511
54,0,22,0,7451349
23,0,53,0,14894003
53,0,25,0,14908998
25,0,55,0,14906269
55,0,56,0,29809251
56,0,57,0,29810705
57,0,22,0,14896815
19,0,58,0,7452359
58,0,57,0,29842023
57,0,59,0,29829412
59,0,60,0,29829411
60,0,61,0,14907046
61,0,5,0,14907046
6,0,7,0,29832359
8,0,26,0,14896263
26,0,62,0,29808618
62,0,63,0,29809450
63,0,20,0,14902095
20,0,64,0,14902095
64,0,65,0,29823734
65,0,66,0,14917390
66,0,67,0,7453826
67,0,62,0,29826152
65,0,5,0,29827950
28,0,68,0,29823838
68,0,60,0,14902982
60,0,55,0,14902982
56,0,69,0,29829305
69,0,70,0,7454332
70,0,28,0,14918718
5,0,71,0,14905175
71,0,20,0,14905176
25,0,26,0,29827681
27,0,72,0,7451472
72,0,5,0,29816848
5,0,73,0,14905365
73,0,74,0,7446082
74,0,7,0,14893176
63,0,59,0,14907354
59,0,74,0,14906214
8,0,75,0,7450939
75,0,75,0,3718957
75,0,72,0,7445625
74,0,73,0,1861769
73,0,9,0,1
9,0,76,0,40
76,0,77,0,40
77,0,78,0,3
78,0,2,0,3
42,0,10,0,3
10,0,79,0,3
79,0,79,0,1
79,0,12,0,1
12,0,38,2,23313103
34,2,80,0,5863678
80,0,15,2,23313652
15,2,81,2,43574177
81,2,2,2,20278151
2,2,3,0,37285342
3,0,82,2,37272072
82,2,83,2,20264123
83,2,80,0,10955557
81,2,79,2,12364722
79,2,79,2,6487248
79,2,12,0,12356321
82,2,40,0,17007948
40,0,84,0,17007948
84,0,46,0,30961932
46,0,38,2,37266650
38,2,43,0,37266649
43,0,85,2,43622357
85,2,11,2,20287070
11,2,86,2,20287070
86,2,35,0,37286241
36,0,87,2,10964429
87,2,43,0,23367377
85,2,33,2,12396714
33,2,45,0,23371926
45,0,88,2,43639933
88,2,35,0,20301547
35,0,48,2,37304443
48,2,83,2,37312931
83,2,11,2,37312930
11,2,33,2,23334637
11,2,51,0,17019185
51,0,13,0,17019185
14,0,15,2,37276667
46,0,89,0,13950111
89,0,17,2,7685353
48,2,90,2,17002896
90,2,16,0,30973567
38,2,91,2,20278393
91,2,40,0,20278393
41,2,2,2,37281466
3,0,14,0,17007191
14,0,92,0,13945239
92,0,39,2,7685578
92,0,93,0,6259661
93,0,84,0,6258570
16,0,50,0,13947317
41,2,86,2,16999171
50,0,18,0,6264661
18,0,13,0,13966438
13,0,93,0,13954624
93,0,94,0,2814595
94,0,95,2,1541233
95,2,90,2,6269439
94,0,94,0,1273362
94,0,52,0,1270155
52,0,47,0,6268444
49,0,96,0,2809895
96,0,97,2,580949
97,2,98,0,1097203
98,0,4,0,1
4,0,99,0,467461
99,0,100,0,3734938
100,0,101,0,1865947
101,0,67,0,7453146
62,0,4,0,14912965
4,0,4,0,3724174
4,0,102,0,934507
102,0,99,0,1866713
99,0,102,0,3731510
102,0,6,0,7461816
6,0,29,0,29838226
29,0,19,0,14920536
19,0,19,0,3732522
19,0,64,0,7461318
66,0,102,0,3730306
19,0,4,0,1866808
21,0,103,0,3730000
103,0,101,0,1864801
7,0,23,0,29837439
23,0,67,0,14919180
30,0,65,0,29850583
65,0,58,0,14928977
57,0,104,0,14926501
104,0,6,0,7464055
104,0,53,0,3732711
25,0,61,0,14925558
61,0,21,0,7465237
21,0,21,0,3732209
21,0,58,0,7460687
61,0,64,0,7460321
5,0,28,0,29827949
29,0,25,0,14922829
69,0,7,0,14918259
60,0,72,0,29838522
8,0,32,0,7459153
32,0,60,0,14916157
59,0,30,0,14921605
68,0,71,0,7459098
71,0,59,0,14920465
74,0,31,0,3731041
73,0,56,0,14916870
69,0,105,0,7456715
105,0,32,0,3725600
72,0,73,0,7459569
73,0,73,0,3727316
32,0,32,0,3729933
32,0,71,0,7461367
74,0,106,0,3727179
106,0,74,0,1862354
74,0,74,0,3725448
75,0,107,0,1864641
107,0,76,0,1865901
76,0,106,0,1859583
106,0,31,0,3727465
32,0,75,0,1859829
75,0,76,0,1863082
106,0,9,0,1
76,0,34,0,30
34,0,10,0,4
10,0,10,0,4
10,0,91,0,4
91,0,83,0,4
83,0,108,0,4
108,0,77,0,4
77,0,108,0,4
108,0,10,0,4
10,0,9,0,5
34,0,33,0,5
33,0,33,0,1
33,0,45,0,1
88,2,109,0,12396325
109,0,87,2,5881857
33,2,33,2,6520548
109,0,110,2,3393355
110,2,77,2,3393355
77,2,34,2,1755005
34,2,34,2,6497017
36,0,111,2,12359138
111,2,112,0,3394638
112,0,113,0,3399978
113,0,87,2,6521091
109,0,113,0,3121113
2,2,42,2,43588432
42,2,12,0,10956781
34,2,108,2,6496049
108,2,80,0,6494417
79,2,9,2,3385384
9,2,9,2,3390755
9,2,10,2,6505535
10,2,11,2,23286559
33,2,34,2,12364720
111,2,9,2,3114780
42,2,43,0,20262525
88,2,78,2,10942061
78,2,2,2,23314158
42,2,10,2,12369126
10,2,91,2,12377033
91,2,83,2,23315607
83,2,45,0,20254827
85,2,91,2,10938574
43,0,92,0,17011669
92,0,41,2,17011669
40,0,114,2,13980388
114,2,90,2,7701232
11,2,12,0,20245666
81,2,10,2,10931304
18,0,39,2,6280802
83,2,108,2,12369345
108,2,78,2,5866523
114,2,115,0,3456127
115,0,17,2,6275513
51,0,84,0,7695414
96,0,50,0,2814360
96,0,116,0,1269377
116,0,96,0,2809796
96,0,14,0,6263994
93,0,93,0,2815726
89,0,96,0,3454198
93,0,47,0,7687555
93,0,95,2,3452474
50,0,50,0,2823019
50,0,96,0,1271564
52,0,18,0,582232
18,0,50,0,1273794
98,0,93,0,267346
93,0,18,0,1272437
114,2,117,2,2823029
117,2,98,0,1273754
98,0,52,0,581002
52,0,96,0,125611
96,0,100,0,514753
100,0,4,0,234286
4,0,100,0,465899
100,0,54,0,1862738
54,0,4,0,467401
54,0,19,0,931000
19,0,99,0,234518
100,0,21,0,929330
21,0,19,0,1866492
66,0,99,0,3733258
54,0,21,0,1860841
104,0,102,0,3729735
102,0,53,0,3728122
19,0,53,0,933266
53,0,100,0,929296
100,0,103,0,1865139
103,0,54,0,1863513
53,0,53,0,3725748
53,0,99,0,930640
21,0,101,0,3722398
103,0,103,0,1865199
103,0,21,0,933383
62,0,6,0,14912355
24,0,56,0,14913889
72,0,30,0,14921860
68,0,72,0,7461759
24,0,106,0,7461605
106,0,70,0,3730873
106,0,118,0,3730732
118,0,70,0,3733513
72,0,32,0,1865513
105,0,107,0,1864736
107,0,32,0,3731404
73,0,72,0,1867476
72,0,72,0,3732121
118,0,106,0,1865124
106,0,73,0,934457
105,0,76,0,1866379
76,0,118,0,3733272
107,0,107,0,1866668
72,0,75,0,932127
73,0,75,0,467522
74,0,72,0,932318
106,0,72,0,463847
72,0,76,0,468087
118,0,74,0,931639
76,0,74,0,930209
74,0,107,0,117972
76,0,9,0,29
76,0,10,0,28
10,0,76,0,31
77,0,34,0,5
34,0,34,0,5
112,0,110,2,3566348
110,2,34,2,897980
34,2,112,0,231744
110,2,33,2,458601
33,2,79,2,1746563
108,2,34,2,3380254
34,2,79,2,899563
79,2,112,0,1755068
33,2,10,2,3393539
10,2,10,2,6507987
108,2,77,2,6502822
77,2,108,2,3384801
108,2,33,2,1753581
77,2,33,2,891250
33,2,112,0,460343
110,2,108,2,1746346
9,2,76,2,3566576
76,2,108,2,1809364
77,2,78,2,6505574
10,2,79,2,3381698
34,2,33,2,3396725
34,2,10,2,1744503
76,2,77,2,3555235
111,2,10,2,5849720
117,2,115,0,1549275
18,0,18,0,2815981
52,0,93,0,1269117
89,0,116,0,2810560
116,0,97,2,1270111
97,2,115,0,1270111
93,0,50,0,576143
116,0,100,0,1095286
100,0,94,0,1095682
94,0,18,0,268886
94,0,93,0,580867
93,0,116,0,126833
100,0,52,0,516565
50,0,97,2,268951
98,0,95,2,1275732
50,0,116,0,581439
100,0,93,0,246513
93,0,97,2,60812
100,0,18,0,120221
18,0,100,0,119503
100,0,19,0,468999
19,0,100,0,235487
103,0,19,0,466899
21,0,102,0,233112
102,0,100,0,1860068
53,0,102,0,1862442
21,0,4,0,929899
19,0,102,0,463878
73,0,32,0,929601
74,0,32,0,465893
32,0,107,0,933807
32,0,76,0,928477
118,0,73,0,466602
73,0,107,0,233265
106,0,75,0,115720
74,0,75,0,231524
118,0,32,0,116139
76,0,73,0,467273
76,0,32,0,116583
110,2,9,2,58788
76,2,10,2,232554
10,2,76,2,914455
108,2,9,2,232151
79,2,76,2,1806016
77,2,10,2,455427
10,2,9,2,1754361
33,2,9,2,897854
76,2,33,2,467354
10,2,112,0,892493
83,0,45,0,1
18,0,96,0,582220
52,0,50,0,269768
93,0,96,0,269785
50,0,100,0,249397
94,0,50,0,129048
18,0,97,2,126893
94,0,96,0,61175
98,0,18,0,126033
52,0,116,0,60345
52,0,100,0,29044
