profile_id,len,word,weight,minpref,first,last
0,16,++-+-+-++--+-++-,2,0,+,-
1,16,+--++-+-+-+-++--,0,-1,+,-
2,16,+-+-++--++-+--+-,0,0,+,-
3,16,++--++-+-+--++-+,2,0,+,+
4,16,-+-+-+-++--+-+-+,0,-1,-,+
5,16,-++--+-++-+--++-,0,-1,-,-
6,16,-+-+-++--+-++-+-,0,-1,-,-
7,16,-++-+-+--++--+-+,0,-1,-,+
8,16,+-+--++-+-+-+--+,0,-1,+,+
9,16,+-+-+-+-+-+-++--,0,0,+,-
10,16,+-+-+-+-++--+-+-,0,0,+,-
11,16,++--++-+--+-++--,0,0,+,-
12,16,+-+-+-++--+-+-++,2,0,+,+
13,16,--++-+--+-++--++,0,-2,-,+
14,16,-+-+--++-+--+-++,0,-2,-,+
15,16,--+-+-++--++-+--,-2,-2,-,-
16,16,+-++--++-+-+--++,2,0,+,+
17,16,-+-+-+--++-+--+-,-2,-2,-,-
18,16,-+-+-+--++-+-+-+,0,-2,-,+
19,16,-+-+-++--+-+-+-+,0,-1,-,+
20,16,+--+-++-+--++--+,0,-1,+,+
21,16,-+-++--+-+-+-+-+,0,-1,-,+
22,16,+--+-+-+-++--+-+,0,-1,+,+
23,16,+-+--++--+-+-++-,0,-1,+,-
24,16,-+-++-+--++-+-+-,0,-1,-,-
25,16,-+-++--+-++-+--+,0,-1,-,+
26,16,+-+-+--++--+-++-,0,-1,+,-
27,16,+--++-+-+-+--++-,0,-1,+,-
28,16,+-+--++--+-++-+-,0,-1,+,-
29,16,-++--+-+-++--+-+,0,-1,-,+
30,16,+-+--++-+-+--++-,0,-1,+,-
31,16,+--++-+-+-+-+--+,0,-1,+,+
32,16,+-+-+-+-+--++-+-,0,-1,+,-
33,16,+-+-+-++--+-+-+-,0,0,+,-
34,16,+-+-++--+-+-+-+-,0,0,+,-
35,16,++--+-+-++--++-+,2,0,+,+
36,16,--+-++--+-+-+-++,0,-2,-,+
37,16,-+--+-++--+-+-++,0,-2,-,+
38,16,--++-+--+-++--+-,-2,-2,-,-
39,16,-+-+--++-+-+-+--,-2,-2,-,-
40,16,++-+--+-++--++-+,2,0,+,+
41,16,-+--++-+--+-++--,-2,-2,-,-
42,16,++--+-+-+-++--+-,0,0,+,-
43,16,+-++--++-+--+-++,2,0,+,+
44,16,--++-+-+--++-+--,-2,-2,-,-
45,16,+-++--+-+-++--++,2,0,+,+
46,16,-+--+-++--++-+-+,0,-2,-,+
47,16,--++-+-+-+--++-+,0,-2,-,+
48,16,--+-++--++-+-+--,-2,-2,-,-
49,16,++-+-+-+-+--++-+,2,0,+,+
50,16,-+-+-+-+--++-+-+,0,-2,-,+
51,16,++-+-+--++-+-+-+,2,0,+,+
52,16,-+--++-+-+-+-+-+,0,-2,-,+
53,16,-+-+-+-+-++--+-+,0,-1,-,+
54,16,-++--+-+-+-+-+-+,0,-1,-,+
55,16,+--+-+-++--+-++-,0,-1,+,-
56,16,+--++-+-+--++--+,0,-1,+,+
57,16,-++-+--++--+-+-+,0,-1,-,+
58,16,-++--+-+-+-++--+,0,-1,-,+
59,16,+--+-++-+--++-+-,0,-1,+,-
60,16,+--++--+-++-+--+,0,-1,+,+
61,16,+--+-+-++--+-+-+,0,-1,+,+
62,16,+--++--+-+-++--+,0,-1,+,+
63,16,-++-+--++-+-+--+,0,-1,-,+
64,16,-+-++--+-+-+-++-,0,-1,-,-
65,16,-+-++-+--++--+-+,0,-1,-,+
66,16,-++--+-+-+-+-++-,0,-1,-,-
67,16,-+-+-+-++--+-++-,0,-1,-,-
68,16,-++-+-+-+--++-+-,0,-1,-,-
